array,camera,site,buff_dist,pipeline,harvest_area,misc_oil_gas_facility,transmission_line,conventional_seismic,low_impact_seismic,well_aband,well_gas,well_other,well_bitumen,clearing_unknown,open_pit_mine,vegetated_edge_roads,road_paved_undiv_2l,road_gravel_1l,road_unimproved,harvest_area_white_zone,trail,crop,rough_pasture,tame_pasture,rural_residence,urban_residence,greenspace,recreation,runway,well_cased,facility_unknown,urban_industrial,clearing_wellpad_unconfirmed,grvl_sand_pit,vegetated_edge_railways,road_unclassified,borrowpit_wet,borrowpit_dry,borrowpits,residence_clearing,campground,well_cleared_not_confirmed,camp_industrial,oil_gas_plant,truck_trail,road_gravel_2l,road_paved_undiv_1l,sump,dugout,country_residence,mill,road_paved_2l,facility_other,surrounding_veg,rlwy_sgl_track,well_cleared_not_drilled,well_unknown,cultivation_abandoned,golfcourse,airp_runway,lagoon,reservoir,transfer_station,landfill,mines_pitlake,rlwy_spur,road_paved_1l,canal,gridcll,lab,lc_class20,lc_class33,lc_class34,lc_class50,lc_class110,lc_class120,lc_class210,lc_class220,lc_class230
LU2,03,LU2_03,250,0,0,0,0,0.04090760977874111,0,0.020291215486935996,0,0,0,0,0,9.58156506617337e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15135489194637e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-03,ACME,0,0,0,0,0,0,0.15836882483989304,0.837519018061021,0.0041121570986471295
LU2,05,LU2_05,250,0,0,0,0,0.008329217879765793,0,0,0,0,0,0,0,0.022858998763282398,0,0.022733369379808892,0,0,0.012877401495558402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-05,ACME,0,0,0.190478626092238,0.171111899334046,0,0,0.08206782196164301,0.13379554712142505,0.42254606418198004
LU2,100,LU2_100,250,0.04825113394945091,0.0267109380113723,0,0,0.0025942692731575905,0,0,0,0,0,0,0,0.07203322667606092,0,0.0215211804142127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-100,ACME,0,0,0.21184643830816505,0,0.21424596387726008,0,0.030698036163503806,0,0.5432096094592971
LU2,101,LU2_101,250,0,0,0,0,0,0,0,0,0,0,0,0,0.021680579162206805,0,0.0216347501067141,0,0,8.934419640237139e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-101,ACME,0,0,0.163240527044432,0,0,0,0.223690207009003,0.6130692352783971,0
LU2,106,LU2_106,250,0.021844585853233,0,0,0,0.00439450898359192,0,0,0.03912481329505141,0,0,0,0,0.029157591656337703,0,0.012521277246240598,0.00742313950274814,0,0,7.15356786759354e-4,0,0.015329210496843,0.00346311042402473,0,0,0,0,0,0,0,0,0,0.12709113032115002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024402526147167303,0,0,0,0,0,0,0,0,0,0,0,0,0.0196060386102269,LU2-106,ACME,0,0,0.365713191212993,0,0.40573208659059196,0,0.18305389479578,0,0.0455007750009709
LU2,110,LU2_110,250,0,0.032288697940334704,0,0,0.00983267383773153,0,0,0,0,0,0,0,0.0587435378513627,0,0.021214365038194502,0.012137516780938303,0,0.0056470785339335396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-110,ACME,0,0,0.27380851254096505,0,0,0,0.03865361724667292,0.16134150572995698,0.526196428674254
LU2,119,LU2_119,250,0,0.192180317846697,0,0,0,0,0,0,0,0,0,0,0.0123605234041454,0,0.0245345097197748,0,0,0.0100887380714843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-119,ACME,0,0,0.18481867790593098,0.13348707761206302,0,0,0.178882102358966,0.23298047419753404,0.269831650371269
LU2,123,LU2_123,250,0,0,0,0,0.026299612344432,0,0.00682772633201706,0,0,0,0,0,0.04515371524527981,0,0.0131117804797907,0,0,0.00863769668907644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-123,ACME,0,0,0.10804247952883601,0,0,0,0,0,0.8919575810323068
LU2,13,LU2_13,250,0,0,0,0,0.0168229459327928,0,0,0,0,0,0,0,0.019271020292050002,0,0.0192853503139856,0,0,0.00416242931264932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-13,ACME,0,0,0.19627423178114903,0,0,0,0.521802957398966,0,0.2819228743967361
LU2,137,LU2_137,250,0.013604306149288703,0.15975792517179604,0,0,0.0173319854101169,0,0,0,0,0,0,0,0.06696010246896421,0,0.022429757077241895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054016676619432005,0.0582793737860963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-137,ACME,0,0,0.21433879355130206,0,0.20092780824955697,0,0.0113612445038641,0.47779417746582403,0.0955779533517053
LU2,143,LU2_143,250,0,0,0,0,0.014036248126886202,0,0,0,0,0,0,0,0.0147396069183312,0,0,0,0,0.0178844068867701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014742314223094298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-143,ACME,0,0,0,0,0,0,0,0.6629308048880529,0.337069195112011
LU2,15,LU2_15,250,0,0.24441716852794007,0,0,0,0,0,0,0,0,0,0,0.025862208156157102,0,0.023040237330824897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-15,ACME,0,0,0.21375647437226705,0,0,0,0,0.7442149349753449,0.042028618984404506
LU2,153,LU2_153,250,0.0626817360022532,0.03285067909270531,0,0,0,0,0,0,0,0,0,0,0.016142014413739296,0,0,0.021209411665667706,0,0,0,0,0,2.7640033047085196e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.014588899336535502,0,0,0,0,0,0,0.029266971915024604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-153,ACME,0,0,0.194579797980624,0,0.26706000701977706,0,0,0.35207831054312494,0.186281939242649
LU2,155,LU2_155,250,0,0.6708661364374359,0,0,6.66380111115841e-4,0,0,0,0,0,0,0,0.017993140988399402,0,0.0181581680320269,0,0,0.00391240548030275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-155,ACME,0,0,0,0.009649702868482228,0,0,0,0.4824194637784681,0.5079308333525471
LU2,17,LU2_17,250,0,0.300369942837972,0,0,0,0,0,0,0,0,0,0,0.0449405387263808,0,0.022361671266436803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008244889360030164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-17,ACME,0,0,0.184570244166037,0.03140347688198939,0,0,0,0.21267441483149604,0.571351870106468
LU2,18,LU2_18,250,0,0,0,0,0,0,0,0,0,0,0,0,0.038364059714552305,0,0.019344313982907105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-18,ACME,0,0,0.16916851827812,0,0,0,0.4649326869756731,0,0.36589875251800996
LU2,20,LU2_20,250,0,0.39519030711387904,0,0,0.0149137538566666,0,0.019999449959653703,0,0,0,0,0,0.05949732011568801,0,0.019737558510382096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-20,ACME,0,0,0.13334694951453602,0,0.0022868929415028,0,0,0.8287736780134112,0.03559253751552541
LU2,21,LU2_21,250,0,0,0,0,0.006784877915933139,0,0,0,0,0,0,0,0.0559416464537522,0,0.0182414806730959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-21,ACME,0,0,0.16878410984716805,0,0,0,0.15427099109926204,0.49896146150440307,0.17798348449044107
LU2,24,LU2_24,250,0.014249022851027603,0.39303684054109594,0,0,0.006746465375958449,0,0,0,0,0,0,0,0.0249060762861888,0,0,0.0249203518464329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-24,ACME,0.19838146499325798,0,0.184810938304415,0,0.08612547521508103,0,0.0644275201467812,0.09019404018488292,0.376060547303137
LU2,25,LU2_25,250,0,0,0,0,0.0212462508120225,0,0,0,0,0,0,0,0.0264290887155182,0,0.0106798767874282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-25,ACME,0,0,0.07503628056630493,0,0,0,0.7025340891341548,0,0.222429506074705
LU2,26,LU2_26,250,0,0,0,0,0,0,0,0,0,0,0,0,0.0236176016407062,0,0.02241139412625911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-26,ACME,0,0,0,0,0,0,0.438273211498423,0,0.561726788501094
LU2,27,LU2_27,250,0.0470692308735471,0,0,0,0.00699328619109847,0,6.124901537672772e-4,0,0,0,0,0,0.06869612110559432,0,0.019943740411100495,0,0,0.00587065815585045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-27,ACME,0,0,0.22149697078428401,0,0.12537980078488498,0,0,0,0.6531232795910821
LU2,29,LU2_29,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-29,ACME,0,0,0.006261077312966659,0.07452777620114862,0,0,0.166233653808766,0.748226924397071,0.004750551713399339
LU2,30,LU2_30,250,0,0,0,0,0.00502160872036165,0,0,0,0,0,0,0,0.048281043962299486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026278143186350002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-30,ACME,0,0,0.13920176099712203,0,0,0,0,0.6944298389610359,0.16636841120912502
LU2,31,LU2_31,250,0,0,0,0,0,0,0,0,0,0,0,0,0.03988319706974401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021323983036452297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-31,ACME,0,0,0.13249680212638804,0,0,0,0.6618548911024399,0.19933687623906,0.006311432597933879
LU2,32,LU2_32,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00807619746798625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-32,ACME,0,0,0,0,0,0,0.7183390055462648,0,0.28166099445382603
LU2,33,LU2_33,250,0,0.41375395988246505,0,0,0,0,0,0,0,0,0,0,0.05190082210515542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278532948697515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-33,ACME,0,0,0.17140500760642305,0,0,0,0,0.16951280271340402,0.6590821987523348
LU2,34,LU2_34,250,0,0.006041826802835701,0,0,0,0,0,0,0,0,0,0,0.0193775611697151,0,0.0177413044901453,0,0,0.009488310837749338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-34,ACME,0,0,0.114889334381949,0,0,0,0.19203122029965597,0.38205775581205104,0.31102163471156996
LU2,36,LU2_36,250,0,0.149021576084247,0,0,0.00305551357382422,0,0,0,0,0,0,0,0,0,0,0,0,0.00749707828711681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-36,ACME,0,0,0,0,0,0,0,1.00000000000004,0
LU2,38,LU2_38,250,0,0.04509588005113159,0,0,0.00421749130581769,0,0,0,0,0,0,0,0.0449326528402649,0,0.0146220776354159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-38,ACME,0,0,0.12120075307515403,0.2887721852741661,0,0,0,0.447727192622825,0.14229989097325502
LU2,39,LU2_39,250,0,0.620451848265014,0,0,0.00183114188889345,0,0,0,0,0,0,0,0.0441951771950903,0,0.021671707676816896,0,0,0.005848928416976451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027556049700984696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-39,ACME,0,0,0.194681298981977,0,0,0,0.41020136091166204,0.006009983271673521,0.38910737351203
LU2,40,LU2_40,250,0,0,0,0,0,0,0,0,0,0,0,0,0.0544429344221471,0,0.024591560574148602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024661173706639297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-40,ACME,0,0,0.27114811057357596,0,0,0,0,0.21829623290973804,0.5105556449989639
LU2,42,LU2_42,250,0,0.7036819012579979,0,0,0,0,0,0,0,0,0,0,0.020636890978419097,0,0.00822410717642003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-42,ACME,0,0,0.07277692548271222,0,0,0,0,0.361715943060687,0.565507257392114
LU2,44,LU2_44,250,0,0.5859489328517831,0,0,0,0,0,0,0,0,0,0,0.00382338218933367,0,0.007341927386196589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-44,ACME,0,0,0,0,0,0,0.4856109168696801,0,0.514389083130555
LU2,46,LU2_46,250,0,0,0,0,0.00484162031782276,0,0,0,0,0,0,0,0,0,0,0,0,0.009714337774270379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-46,ACME,0,0,0,0,0,0,0.609950930257839,0.110289332374651,0.279759737367186
LU2,47,LU2_47,250,0,0,0,0,0.028008799735086198,0,0,0,0,0,0,0,0.05709203011495671,0,0.0194835645609449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020610327969783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-47,ACME,0,0,0.109853081234258,0,0,0,0,0.817969611759915,0.0721773407847285
LU2,50,LU2_50,250,0,0.6616323718682158,0,0,0,0,0,0,0,0,0,0,0.019989677667480603,0,0,0.028397663664071204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-50,ACME,0,0,0.21023560415949005,0,0,0,0,0.0490555304647066,0.740708863859853
LU2,51,LU2_51,250,0,0,0,0,0,0,0,0,0,0,0,0,0.022115828209065196,0,0,0.026448337572493905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-51,ACME,0,0,0.25782895841297804,0,0.00702561364284253,0,0,0.6925191829358508,0.04262623763616511
LU2,52,LU2_52,250,0,0.5772671686757279,0,0,0,0,0,0,0,0,0,0,0.0280369534583458,0,0.022289492798581292,0,0,0.005090212329027098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-52,ACME,0,0,0,0,0,0,0.24254292200216904,0,0.757457077998036
LU2,54,LU2_54,250,0,0.444851966416,0,0,9.380149476324878e-4,0,0,0,0,0,0,0,0.0150603163695354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015065398644820496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-54,ACME,0,0,0.17781164022711302,0,0,0,0.23567548382349404,0.0012129064337886802,0.5852999699234099
LU2,56,LU2_56,250,0,0.6509307134461761,0,0,0.004624327734622569,0,0,0,0,0,0,0,0.020793715975163402,0,0,0.022541963423316696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079546532296249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU2-56,ACME,0,0,0.14481425065209405,0,0,0,0.5595223630099869,0.295663417627928,0
