array,site,year,month,species,presence
LU09,LU09_100,2023,9,ATVer,0
LU09,LU09_100,2023,9,Black bear,0
LU09,LU09_100,2023,9,Canada goose,0
LU09,LU09_100,2023,9,Caribou,0
LU09,LU09_100,2023,9,Cougar,0
LU09,LU09_100,2023,9,Coyote,1
LU09,LU09_100,2023,9,Domestic dog,0
LU09,LU09_100,2023,9,Fisher,1
LU09,LU09_100,2023,9,Grey jay,0
LU09,LU09_100,2023,9,Grey wolf,0
LU09,LU09_100,2023,9,Hiker,0
LU09,LU09_100,2023,9,Human,0
LU09,LU09_100,2023,9,Lynx,0
LU09,LU09_100,2023,9,Marten,0
LU09,LU09_100,2023,9,Moose,0
LU09,LU09_100,2023,9,Other,0
LU09,LU09_100,2023,9,Other birds,0
LU09,LU09_100,2023,9,Otter,0
LU09,LU09_100,2023,9,Raven,0
LU09,LU09_100,2023,9,Red fox,0
LU09,LU09_100,2023,9,Red squirrel,0
LU09,LU09_100,2023,9,Ruffed grouse,0
LU09,LU09_100,2023,9,Short-tailed weasel,0
LU09,LU09_100,2023,9,Snowmobiler,0
LU09,LU09_100,2023,9,Snowshoe hare,0
LU09,LU09_100,2023,9,Spruce grouse,1
LU09,LU09_100,2023,9,Staff,1
LU09,LU09_100,2023,9,Striped skunk,0
LU09,LU09_100,2023,9,Unknown,0
LU09,LU09_100,2023,9,Unknown bear,0
LU09,LU09_100,2023,9,Unknown canid,0
LU09,LU09_100,2023,9,Unknown deer,0
LU09,LU09_100,2023,9,Unknown mustelid,0
LU09,LU09_100,2023,9,Unknown ungulate,0
LU09,LU09_100,2023,9,White-tailed deer,0
LU09,LU09_100,2023,9,Wolverine,0
LU09,LU09_100,2023,10,ATVer,0
LU09,LU09_100,2023,10,Black bear,0
LU09,LU09_100,2023,10,Canada goose,0
LU09,LU09_100,2023,10,Caribou,0
LU09,LU09_100,2023,10,Cougar,0
LU09,LU09_100,2023,10,Coyote,0
LU09,LU09_100,2023,10,Domestic dog,0
LU09,LU09_100,2023,10,Fisher,0
LU09,LU09_100,2023,10,Grey jay,0
LU09,LU09_100,2023,10,Grey wolf,0
LU09,LU09_100,2023,10,Hiker,0
LU09,LU09_100,2023,10,Human,0
LU09,LU09_100,2023,10,Lynx,0
LU09,LU09_100,2023,10,Marten,0
LU09,LU09_100,2023,10,Moose,0
LU09,LU09_100,2023,10,Other,0
LU09,LU09_100,2023,10,Other birds,0
LU09,LU09_100,2023,10,Otter,0
LU09,LU09_100,2023,10,Raven,0
LU09,LU09_100,2023,10,Red fox,0
LU09,LU09_100,2023,10,Red squirrel,1
LU09,LU09_100,2023,10,Ruffed grouse,0
LU09,LU09_100,2023,10,Short-tailed weasel,0
LU09,LU09_100,2023,10,Snowmobiler,0
LU09,LU09_100,2023,10,Snowshoe hare,0
LU09,LU09_100,2023,10,Spruce grouse,0
LU09,LU09_100,2023,10,Staff,0
LU09,LU09_100,2023,10,Striped skunk,0
LU09,LU09_100,2023,10,Unknown,0
LU09,LU09_100,2023,10,Unknown bear,0
LU09,LU09_100,2023,10,Unknown canid,0
LU09,LU09_100,2023,10,Unknown deer,0
LU09,LU09_100,2023,10,Unknown mustelid,0
LU09,LU09_100,2023,10,Unknown ungulate,0
LU09,LU09_100,2023,10,White-tailed deer,0
LU09,LU09_100,2023,10,Wolverine,0
LU09,LU09_100,2023,11,ATVer,0
LU09,LU09_100,2023,11,Black bear,0
LU09,LU09_100,2023,11,Canada goose,0
LU09,LU09_100,2023,11,Caribou,0
LU09,LU09_100,2023,11,Cougar,0
LU09,LU09_100,2023,11,Coyote,0
LU09,LU09_100,2023,11,Domestic dog,0
LU09,LU09_100,2023,11,Fisher,0
LU09,LU09_100,2023,11,Grey jay,0
LU09,LU09_100,2023,11,Grey wolf,0
LU09,LU09_100,2023,11,Hiker,0
