site,black_bear,coyote,fisher,snowshoe_hare,white-tailed_deer,cougar,lynx,red_fox,moose,grey_wolf,caribou,absent_black_bear,absent_coyote,absent_fisher,absent_snowshoe_hare,absent_white-tailed_deer,absent_cougar,absent_lynx,absent_red_fox,absent_moose,absent_grey_wolf,absent_caribou
LU2_03,2,1,2,1,7,0,0,0,0,0,0,3,6,5,6,0,7,7,7,7,7,7
LU2_05,2,0,0,0,3,1,0,0,0,0,0,3,7,7,7,4,6,7,7,7,7,7
LU2_100,1,3,3,2,6,0,3,3,0,0,0,4,4,4,5,1,7,4,4,7,7,7
LU2_101,3,5,1,5,7,0,2,0,0,0,0,2,2,6,2,0,7,5,7,7,7,7
LU2_106,2,6,0,6,6,0,0,0,1,0,0,3,1,7,1,1,7,7,7,6,7,7
LU2_110,3,3,2,9,7,0,4,0,0,0,0,8,11,12,5,7,14,10,14,14,14,14
LU2_119,4,8,1,14,9,1,6,0,3,0,0,7,6,13,0,5,13,8,14,11,14,14
LU2_123,3,0,1,0,6,0,0,1,3,0,0,2,7,6,7,1,7,7,6,4,7,7
LU2_13,1,3,1,7,5,0,1,0,0,1,0,4,4,6,0,2,7,6,7,7,6,7
LU2_137,2,4,0,3,13,1,0,0,1,0,0,9,10,14,11,1,13,14,14,13,14,14
LU2_143,6,4,1,4,12,0,3,0,5,2,0,5,10,13,10,2,14,11,14,9,12,14
LU2_15,1,0,0,0,1,0,0,0,0,0,0,4,7,7,7,6,7,7,7,7,7,7
LU2_153,6,5,0,0,13,0,0,0,1,1,0,5,9,14,14,1,14,14,14,13,13,14
LU2_155,3,1,0,4,11,1,0,0,2,2,0,8,13,14,10,3,13,14,14,12,12,14
LU2_17,6,4,0,13,12,1,0,0,4,2,0,5,10,14,1,2,13,14,14,10,12,14
LU2_18,4,1,2,14,8,0,6,0,2,3,0,7,13,12,0,6,14,8,14,12,11,14
LU2_20,6,2,0,0,12,1,0,0,3,0,0,5,12,14,14,2,13,14,14,11,14,14
LU2_21,7,1,5,6,11,0,1,0,2,0,0,4,13,9,8,3,14,13,14,12,14,14
LU2_24,7,4,0,11,10,0,1,0,0,1,0,4,10,14,3,4,14,13,14,14,13,14
LU2_25,5,5,4,8,7,2,1,0,1,0,0,6,9,10,6,7,12,13,14,13,14,14
LU2_26,6,0,0,1,13,2,0,0,1,1,0,5,14,14,13,1,12,14,14,13,13,14
LU2_27,2,0,2,5,5,0,1,1,0,1,0,3,7,5,2,2,7,6,6,7,6,7
LU2_29,2,1,1,2,7,0,1,0,2,0,0,3,6,6,5,0,7,6,7,5,7,7
LU2_30,2,3,0,0,7,0,0,0,2,0,0,3,4,7,7,0,7,7,7,5,7,7
LU2_31,4,1,0,5,6,0,0,0,0,0,0,1,6,7,2,1,7,7,7,7,7,7
LU2_32,2,2,3,2,7,0,0,0,1,0,0,3,5,4,5,0,7,7,7,6,7,7
LU2_33,3,2,0,7,6,1,2,0,0,0,0,2,5,7,0,1,6,5,7,7,7,7
LU2_34,3,5,5,6,6,0,1,0,2,1,0,2,2,2,1,1,7,6,7,5,6,7
LU2_36,2,0,2,0,5,0,0,0,5,0,0,3,7,5,7,2,7,7,7,2,7,7
LU2_38,3,1,0,0,3,0,1,0,1,0,0,8,13,14,14,11,14,13,14,13,14,14
LU2_39,6,5,0,13,12,6,2,0,1,0,0,5,9,14,1,2,8,12,14,13,14,14
LU2_40,4,1,0,8,13,0,1,0,1,1,0,7,13,14,6,1,14,13,14,13,13,14
LU2_42,7,1,4,13,10,0,2,0,1,2,0,4,13,10,1,4,14,12,14,13,12,14
LU2_44,2,0,0,2,3,0,0,0,0,0,0,9,14,14,12,11,14,14,14,14,14,14
LU2_46,6,2,0,3,14,1,0,0,0,2,0,5,12,14,11,0,13,14,14,14,12,14
LU2_47,2,2,1,1,11,0,0,0,0,0,0,9,12,13,13,3,14,14,14,14,14,14
LU2_50,3,5,0,13,10,1,0,1,0,0,0,8,9,14,1,4,13,14,13,14,14,14
LU2_51,3,2,0,0,13,1,0,1,2,0,0,8,12,14,14,1,13,14,13,12,14,14
LU2_52,6,0,0,11,13,1,2,0,0,1,0,5,14,14,3,1,13,12,14,14,13,14
LU2_54,3,2,0,5,14,0,2,0,0,2,0,8,12,14,9,0,14,12,14,14,12,14
LU2_56,4,0,0,3,12,0,0,1,0,1,0,7,14,14,11,2,14,14,13,14,13,14
LU2_57,7,0,0,0,13,0,0,3,0,0,0,4,14,14,14,1,14,14,11,14,14,14
LU3_05,2,0,0,6,2,0,3,1,0,0,1,6,11,11,5,9,11,8,10,11,11,10
LU3_07,3,4,0,7,4,0,3,0,0,1,0,5,7,11,4,7,11,8,11,11,10,11
LU3_10,2,4,2,7,4,0,2,0,1,0,0,3,3,5,0,3,7,5,7,6,7,7
LU3_102,3,1,0,3,4,0,4,0,0,0,1,5,10,11,8,7,11,7,11,11,11,10
LU3_103,1,1,0,2,1,0,3,0,2,0,1,7,10,11,9,10,11,8,11,9,11,10
LU3_111,2,0,1,2,4,0,1,0,0,1,0,3,7,6,5,3,7,6,7,7,6,7
LU3_126,2,1,0,2,1,0,1,0,0,0,0,6,10,11,9,10,11,10,11,11,11,11
LU3_129,2,0,0,1,7,0,0,0,0,0,0,3,7,7,6,0,7,7,7,7,7,7
LU3_13,5,3,0,6,3,0,7,0,1,0,1,3,8,11,5,8,11,4,11,10,11,10
LU3_131,0,0,1,5,3,0,4,0,2,0,0,8,11,10,6,8,11,7,11,9,11,11
LU3_137,2,2,1,3,4,0,2,0,1,0,0,3,5,6,4,3,7,5,7,6,7,7
LU3_14,2,1,0,1,3,0,1,0,1,0,0,3,6,7,6,4,7,6,7,6,7,7
LU3_147,3,2,1,2,7,0,1,0,1,0,0,2,5,6,5,0,7,6,7,6,7,7
LU3_15,0,2,1,6,1,0,5,0,1,0,0,8,9,10,5,10,11,6,11,10,11,11
LU3_17,3,1,0,8,4,0,2,0,0,1,0,5,10,11,3,7,11,9,11,11,10,11
LU3_18,1,2,0,3,0,0,1,0,0,0,1,7,9,11,8,11,11,10,11,11,11,10
LU3_19,3,1,0,1,8,0,2,0,1,0,5,5,10,11,10,3,11,9,11,10,11,6
LU3_20,1,2,0,4,4,0,2,0,0,0,1,4,5,7,3,3,7,5,7,7,7,6
LU3_21,2,4,0,6,5,0,3,0,1,0,2,3,3,7,1,2,7,4,7,6,7,5
LU3_25,3,4,1,7,4,0,2,0,0,0,3,2,3,6,0,3,7,5,7,7,7,4
LU3_27,3,2,0,0,6,0,0,0,1,0,0,2,5,7,7,1,7,7,7,6,7,7
LU3_28,2,3,0,2,6,0,2,0,0,0,0,3,4,7,5,1,7,5,7,7,7,7
LU3_32,3,0,0,0,7,0,1,0,0,0,0,2,7,7,7,0,7,6,7,7,7,7
LU3_36,3,1,0,3,4,0,0,0,5,0,0,2,6,7,4,3,7,7,7,2,7,7
LU3_38,1,0,1,0,0,0,1,0,0,0,0,4,7,6,7,7,7,6,7,7,7,7
LU3_39,2,1,0,1,6,0,5,0,1,0,0,3,6,7,6,1,7,2,7,6,7,7
LU3_40,1,2,0,0,3,0,0,0,0,0,1,4,5,7,7,4,7,7,7,7,7,6
LU3_41,2,4,0,1,4,0,0,0,0,0,0,3,3,7,6,3,7,7,7,7,7,7
LU3_44,1,1,0,7,6,0,2,0,1,1,0,7,10,11,4,5,11,9,11,10,10,11
LU3_45,4,2,1,3,5,0,1,0,0,0,0,1,5,6,4,2,7,6,7,7,7,7
LU3_46,3,1,2,3,3,0,2,0,1,0,0,2,6,5,4,4,7,5,7,6,7,7
LU3_48,3,5,0,11,2,0,5,0,0,0,0,5,6,11,0,9,11,6,11,11,11,11
LU3_49,3,2,0,2,6,0,2,0,0,0,0,2,5,7,5,1,7,5,7,7,7,7
LU3_50,3,1,0,1,5,0,1,0,0,0,0,2,6,7,6,2,7,6,7,7,7,7
LU3_51,3,2,1,1,7,0,2,0,0,0,2,2,5,6,6,0,7,5,7,7,7,5
LU3_52,2,7,2,1,7,0,2,0,1,0,0,3,0,5,6,0,7,5,7,6,7,7
