array,site,long,lat,easting_12n,northing_12n,camera,start_date,end_date,camera_failure_details
LU2,LU2_3,-111.48897,54.871919999999996,468621.87804954505,6080648.465078816,3,2021-07-15,2022-02-06,NA
LU2,LU2_5,-111.40779,54.87287,473831.9336592749,6080720.833836847,5,2021-07-12,2022-02-06,NA
LU2,LU2_100,-111.76688,54.99404,450937.0408583181,6094397.1487539485,100,2021-07-15,2022-02-05,NA
LU2,LU2_101,-111.41208,54.86738,473553.05057956855,6080111.541518604,101,2021-07-12,2022-02-06,NA
LU2,LU2_106,-111.78943,54.88816,449361.49613157735,6082631.472272619,106,2021-07-12,2022-02-05,NA
LU2,LU2_110,-111.47919,54.917919999999995,469284.49749157636,6085762.812801509,110,2021-07-13,2022-09-10,NA
LU2,LU2_119,-111.78169000000001,54.988879999999995,449983.1393723677,6093833.456562188,119,2021-07-15,2022-09-10,NA
LU2,LU2_123,-111.66826,55.00679,457259.93918775435,6095751.196769467,123,2021-07-15,2022-02-05,NA
LU2,LU2_13,-111.40125000000002,54.89791,474267.56815204764,6083504.760695242,13,2021-07-12,2022-02-06,NA
LU2,LU2_137,-111.59875,54.94295,461644.7532603298,6088607.037409125,137,2021-07-14,2022-09-09,NA
LU2,LU2_143,-111.43214,54.93758,472313.8299532292,6087930.883114251,143,2021-07-13,2022-09-09,NA
LU2,LU2_15,-111.38586,54.907869999999996,475260.64098658354,6084607.526799967,15,2021-07-12,2022-02-06,NA
LU2,LU2_153,-111.49073,54.988679999999995,468600.0161686661,6093641.87949887,153,2021-07-13,2022-09-10,NA
LU2,LU2_155,-111.40751000000002,54.97483,473915.94272478344,6092066.495962011,155,2021-07-14,2022-09-09,NA
LU2,LU2_17,-111.50986999999999,54.92504,467323.73346896796,6086568.98862813,17,2021-07-14,2022-09-09,NA
LU2,LU2_18,-111.45886,54.920970000000004,470589.8407542466,6086093.475922492,18,2021-07-13,2022-09-10,NA
LU2,LU2_20,-111.63136,54.95559,459568.5101910151,6090031.919827051,20,2021-07-15,2022-09-09,NA
LU2,LU2_21,-111.62396999999999,54.94711,460033.3367776853,6089084.055948623,21,2021-07-15,2022-09-09,NA
LU2,LU2_24,-111.78605,54.975930000000005,449687.97659965884,6092395.570083428,24,2021-07-12,2022-09-10,NA
LU2,LU2_25,-111.63915,54.970279999999995,459084.58651323157,6091671.092143002,25,2021-07-13,2022-09-09,NA
LU2,LU2_26,-111.41759000000002,54.96789,473266.132958704,6091298.034746433,26,2021-07-13,2022-09-09,NA
LU2,LU2_27,-111.65133999999999,55.00145,458336.5454957909,6095146.770380339,27,2021-07-14,2022-02-05,NA
LU2,LU2_29,-111.56660000000001,54.85585999999999,463625.81360743905,6078898.925866748,29,2021-07-15,2022-02-06,NA
LU2,LU2_30,-111.60097999999999,54.85813,461420.9037220108,6079169.90778577,30,2021-07-15,2022-02-06,NA
LU2,LU2_31,-111.47372,54.86417,469594.660125124,6079779.357431664,31,2021-07-15,2022-02-06,NA
LU2,LU2_32,-111.44610000000002,54.862350000000006,471366.1258143794,6079565.199059446,32,2021-07-12,2022-02-06,NA
