site,Coyote,Fisher,Lynx,Red squirrel,Spruce grouse,Staff,White-tailed deer,Black bear,Marten,Snowshoe hare,Unknown,Unknown deer,Caribou,Grey jay,Other birds,Otter,Unknown mustelid,Grey wolf,Red fox,Short-tailed weasel,Domestic dog,Unknown canid,Other,Moose,Unknown ungulate,Ruffed grouse,Cougar,Wolverine,ATVer,Human,Canada goose,Raven,Unknown bear,Snowmobiler,Hiker,Striped skunk
LU09_100,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_102,4,1,0,5,0,2,22,1,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_106,19,0,4,35,0,2,6,1,4,5,9,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_112,1,2,0,7,2,2,4,0,1,5,1,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_113,1,0,0,4,0,2,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_12,21,0,0,6,0,2,35,8,5,6,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_13,0,0,1,4,0,1,6,1,0,0,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_18,6,2,0,14,0,2,33,0,5,2,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_21,17,0,0,1,0,2,49,2,1,0,2,1,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_24,4,2,2,4,0,2,48,6,1,16,2,5,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_27,23,7,6,65,2,2,14,11,1,54,3,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_28,6,3,0,12,4,2,49,1,9,7,0,0,0,0,6,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_29,20,1,3,30,0,2,85,8,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_30,15,1,0,2,0,2,49,3,0,32,1,1,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU09_31,6,0,2,2,1,2,51,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU09_32,25,1,4,0,2,2,59,8,2,45,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU09_33,29,2,0,2,0,2,26,6,2,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_39,3,2,2,20,0,2,3,5,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
